training log: output/train_20260408_123704.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/sveAndriceveKnjige.txt', 'save_path': 'models/andric_transformer_acc5_3e-06LR.pt', 'init_from': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-06, 'max_steps': 30000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc40_3e-05LR.pt
step 10350 | train 3.8768 | val 3.7393 | ppl 42.07 | lr 2.28e-06
step 10400 | train 3.9143 | val 3.7407 | ppl 42.13 | lr 2.28e-06
step 10450 | train 3.8625 | val 3.7234 | ppl 41.41 | lr 2.27e-06
step 10500 | train 3.8401 | val 3.7405 | ppl 42.12 | lr 2.26e-06
step 10550 | train 3.8669 | val 3.7384 | ppl 42.03 | lr 2.26e-06
step 10600 | train 3.8074 | val 3.7202 | ppl 41.27 | lr 2.25e-06
step 10650 | train 3.8595 | val 3.7368 | ppl 41.96 | lr 2.24e-06
step 10700 | train 3.8550 | val 3.7409 | ppl 42.14 | lr 2.24e-06
step 10750 | train 3.8567 | val 3.7568 | ppl 42.81 | lr 2.23e-06
step 10800 | train 3.8265 | val 3.7199 | ppl 41.26 | lr 2.22e-06
step 10850 | train 3.8768 | val 3.7615 | ppl 43.01 | lr 2.22e-06
step 10900 | train 3.8127 | val 3.7228 | ppl 41.38 | lr 2.21e-06
step 10950 | train 3.8599 | val 3.7209 | ppl 41.30 | lr 2.21e-06
step 11000 | train 3.8333 | val 3.7335 | ppl 41.83 | lr 2.20e-06
step 11050 | train 3.8384 | val 3.7106 | ppl 40.88 | lr 2.19e-06
step 11100 | train 3.9083 | val 3.7186 | ppl 41.21 | lr 2.19e-06
step 11150 | train 3.8430 | val 3.7367 | ppl 41.96 | lr 2.18e-06
step 11200 | train 3.8369 | val 3.7436 | ppl 42.25 | lr 2.17e-06
step 11250 | train 3.8603 | val 3.7198 | ppl 41.25 | lr 2.17e-06
step 11300 | train 3.8623 | val 3.7423 | ppl 42.19 | lr 2.16e-06
step 11350 | train 3.8711 | val 3.7253 | ppl 41.49 | lr 2.15e-06
step 11400 | train 3.8927 | val 3.7202 | ppl 41.27 | lr 2.15e-06
step 11450 | train 3.8056 | val 3.7145 | ppl 41.04 | lr 2.14e-06
step 11500 | train 3.9184 | val 3.7507 | ppl 42.55 | lr 2.13e-06
step 11550 | train 3.8463 | val 3.7270 | ppl 41.55 | lr 2.13e-06
step 11600 | train 3.8219 | val 3.7362 | ppl 41.94 | lr 2.12e-06
step 11650 | train 3.9144 | val 3.7290 | ppl 41.64 | lr 2.11e-06
step 11700 | train 3.8957 | val 3.7357 | ppl 41.92 | lr 2.11e-06
step 11750 | train 3.8574 | val 3.7185 | ppl 41.20 | lr 2.10e-06
step 11800 | train 3.8461 | val 3.7352 | ppl 41.90 | lr 2.09e-06
step 11850 | train 3.8272 | val 3.7241 | ppl 41.43 | lr 2.09e-06
step 11900 | train 3.8437 | val 3.7264 | ppl 41.53 | lr 2.08e-06
step 11950 | train 3.7812 | val 3.6996 | ppl 40.43 | lr 2.07e-06
step 12000 | train 3.8864 | val 3.7366 | ppl 41.96 | lr 2.07e-06
step 12050 | train 3.8058 | val 3.7273 | ppl 41.57 | lr 2.06e-06
step 12100 | train 3.8778 | val 3.7388 | ppl 42.05 | lr 2.05e-06
step 12150 | train 3.8354 | val 3.7471 | ppl 42.40 | lr 2.05e-06
step 12200 | train 3.8236 | val 3.7212 | ppl 41.31 | lr 2.04e-06
step 12250 | train 3.8741 | val 3.7395 | ppl 42.08 | lr 2.03e-06
step 12300 | train 3.8336 | val 3.7229 | ppl 41.38 | lr 2.03e-06
step 12350 | train 3.8873 | val 3.7285 | ppl 41.62 | lr 2.02e-06
step 12400 | train 3.8411 | val 3.7332 | ppl 41.81 | lr 2.01e-06
step 12450 | train 3.7670 | val 3.7233 | ppl 41.40 | lr 2.01e-06
step 12500 | train 3.9097 | val 3.7451 | ppl 42.31 | lr 2.00e-06
step 12550 | train 3.9009 | val 3.7127 | ppl 40.97 | lr 1.99e-06
step 12600 | train 3.8750 | val 3.7251 | ppl 41.48 | lr 1.99e-06
step 12650 | train 3.8342 | val 3.7507 | ppl 42.55 | lr 1.98e-06
step 12700 | train 3.8191 | val 3.7129 | ppl 40.97 | lr 1.97e-06
step 12750 | train 3.7898 | val 3.7191 | ppl 41.23 | lr 1.97e-06
step 12800 | train 3.8610 | val 3.7408 | ppl 42.13 | lr 1.96e-06
step 12850 | train 3.8861 | val 3.7173 | ppl 41.15 | lr 1.95e-06
step 12900 | train 3.8022 | val 3.7295 | ppl 41.66 | lr 1.94e-06
step 12950 | train 3.8720 | val 3.7063 | ppl 40.70 | lr 1.94e-06
step 13000 | train 3.8520 | val 3.7261 | ppl 41.52 | lr 1.93e-06
step 13050 | train 3.7935 | val 3.7214 | ppl 41.32 | lr 1.92e-06
step 13100 | train 3.8304 | val 3.7340 | ppl 41.85 | lr 1.92e-06
step 13150 | train 3.8917 | val 3.7109 | ppl 40.89 | lr 1.91e-06
step 13200 | train 3.8685 | val 3.7005 | ppl 40.47 | lr 1.90e-06
step 13250 | train 3.8929 | val 3.7177 | ppl 41.17 | lr 1.90e-06
step 13300 | train 3.8680 | val 3.7003 | ppl 40.46 | lr 1.89e-06
step 13350 | train 3.8256 | val 3.7220 | ppl 41.35 | lr 1.88e-06
step 13400 | train 3.8867 | val 3.7314 | ppl 41.74 | lr 1.88e-06
step 13450 | train 3.8352 | val 3.6863 | ppl 39.90 | lr 1.87e-06
step 13500 | train 3.8181 | val 3.7048 | ppl 40.64 | lr 1.86e-06
step 13550 | train 3.7828 | val 3.7044 | ppl 40.63 | lr 1.85e-06
step 13600 | train 3.7907 | val 3.7150 | ppl 41.06 | lr 1.85e-06
step 13650 | train 3.8268 | val 3.7180 | ppl 41.18 | lr 1.84e-06
step 13700 | train 3.8411 | val 3.7094 | ppl 40.83 | lr 1.83e-06
step 13750 | train 3.8424 | val 3.7278 | ppl 41.59 | lr 1.83e-06
step 13800 | train 3.8359 | val 3.7049 | ppl 40.65 | lr 1.82e-06
step 13850 | train 3.7829 | val 3.7140 | ppl 41.02 | lr 1.81e-06
step 13900 | train 3.8688 | val 3.7272 | ppl 41.56 | lr 1.81e-06
step 13950 | train 3.8279 | val 3.6942 | ppl 40.21 | lr 1.80e-06
step 14000 | train 3.8825 | val 3.7469 | ppl 42.39 | lr 1.79e-06
step 14050 | train 3.8658 | val 3.7541 | ppl 42.70 | lr 1.78e-06
step 14100 | train 3.8543 | val 3.7196 | ppl 41.25 | lr 1.78e-06
step 14150 | train 3.8746 | val 3.7131 | ppl 40.98 | lr 1.77e-06
step 14200 | train 3.8459 | val 3.7337 | ppl 41.83 | lr 1.76e-06
step 14250 | train 3.8092 | val 3.7173 | ppl 41.15 | lr 1.76e-06
step 14300 | train 3.9267 | val 3.6933 | ppl 40.18 | lr 1.75e-06
step 14350 | train 3.8194 | val 3.7159 | ppl 41.10 | lr 1.74e-06
step 14400 | train 3.8550 | val 3.7469 | ppl 42.39 | lr 1.73e-06
step 14450 | train 3.8312 | val 3.7352 | ppl 41.89 | lr 1.73e-06
step 14500 | train 3.8967 | val 3.7208 | ppl 41.30 | lr 1.72e-06
step 14550 | train 3.8298 | val 3.7247 | ppl 41.46 | lr 1.71e-06
step 14600 | train 3.8123 | val 3.6987 | ppl 40.40 | lr 1.71e-06
step 14650 | train 3.8248 | val 3.7309 | ppl 41.72 | lr 1.70e-06
step 14700 | train 3.8099 | val 3.7169 | ppl 41.14 | lr 1.69e-06
step 14750 | train 3.8291 | val 3.6985 | ppl 40.39 | lr 1.69e-06
step 14800 | train 3.8472 | val 3.7289 | ppl 41.63 | lr 1.68e-06
step 14850 | train 3.8268 | val 3.7207 | ppl 41.29 | lr 1.67e-06
step 14900 | train 3.8740 | val 3.7119 | ppl 40.93 | lr 1.66e-06
step 14950 | train 3.9075 | val 3.7150 | ppl 41.06 | lr 1.66e-06
step 15000 | train 3.8432 | val 3.7365 | ppl 41.95 | lr 1.65e-06
step 15050 | train 3.7824 | val 3.7145 | ppl 41.04 | lr 1.64e-06
step 15100 | train 3.8207 | val 3.7076 | ppl 40.75 | lr 1.64e-06
step 15150 | train 3.8468 | val 3.7151 | ppl 41.06 | lr 1.63e-06
step 15200 | train 3.8115 | val 3.7079 | ppl 40.77 | lr 1.62e-06
step 15250 | train 3.8674 | val 3.7317 | ppl 41.75 | lr 1.61e-06
step 15300 | train 3.8114 | val 3.7237 | ppl 41.42 | lr 1.61e-06
step 15350 | train 3.7947 | val 3.7387 | ppl 42.04 | lr 1.60e-06
step 15400 | train 3.8195 | val 3.7060 | ppl 40.69 | lr 1.59e-06
step 15450 | train 3.8626 | val 3.7007 | ppl 40.48 | lr 1.59e-06
