training log: output/train_20260407_184936.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_1e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 40, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_1e-04LR.pt
step 54000 | train 3.3890 | val 3.6086 | ppl 36.91 | lr 3.66e-06
step 54200 | train 3.6009 | val 3.6192 | ppl 37.31 | lr 3.62e-06
step 54400 | train 3.5101 | val 3.6163 | ppl 37.20 | lr 3.58e-06
step 54600 | train 3.3825 | val 3.6229 | ppl 37.45 | lr 3.54e-06
step 54800 | train 3.3958 | val 3.6582 | ppl 38.79 | lr 3.50e-06
step 55000 | train 3.5200 | val 3.5923 | ppl 36.32 | lr 3.46e-06
step 55200 | train 3.6940 | val 3.5745 | ppl 35.68 | lr 3.42e-06
step 55400 | train 3.6216 | val 3.6169 | ppl 37.22 | lr 3.39e-06
step 55600 | train 3.5396 | val 3.6626 | ppl 38.96 | lr 3.36e-06
step 55800 | train 3.3025 | val 3.6322 | ppl 37.79 | lr 3.33e-06
step 56000 | train 3.3303 | val 3.6214 | ppl 37.39 | lr 3.30e-06
step 56200 | train 3.2789 | val 3.6278 | ppl 37.63 | lr 3.27e-06
step 56400 | train 3.3323 | val 3.6360 | ppl 37.94 | lr 3.24e-06
step 56600 | train 3.4192 | val 3.6221 | ppl 37.42 | lr 3.21e-06
step 56800 | train 3.5022 | val 3.6155 | ppl 37.17 | lr 3.19e-06
step 57000 | train 3.4141 | val 3.6116 | ppl 37.03 | lr 3.17e-06
step 57200 | train 3.3488 | val 3.6197 | ppl 37.33 | lr 3.14e-06
step 57400 | train 3.5151 | val 3.6108 | ppl 37.00 | lr 3.12e-06
step 57600 | train 3.4741 | val 3.6200 | ppl 37.34 | lr 3.11e-06
step 57800 | train 3.4733 | val 3.6009 | ppl 36.63 | lr 3.09e-06
step 58000 | train 3.5036 | val 3.6144 | ppl 37.13 | lr 3.07e-06
step 58200 | train 3.3204 | val 3.6223 | ppl 37.42 | lr 3.06e-06
step 58400 | train 3.5255 | val 3.6165 | ppl 37.21 | lr 3.05e-06
step 58600 | train 3.5455 | val 3.6177 | ppl 37.25 | lr 3.04e-06
step 58800 | train 3.3972 | val 3.6233 | ppl 37.46 | lr 3.03e-06
step 59000 | train 3.5448 | val 3.6472 | ppl 38.37 | lr 3.02e-06
step 59200 | train 3.6220 | val 3.6564 | ppl 38.72 | lr 3.01e-06
step 59400 | train 3.3176 | val 3.6305 | ppl 37.73 | lr 3.01e-06
step 59600 | train 3.6751 | val 3.6188 | ppl 37.29 | lr 3.00e-06
step 59800 | train 3.4551 | val 3.6229 | ppl 37.44 | lr 3.00e-06
step 60000 | train 3.4718 | val 3.6165 | ppl 37.21 | lr 3.00e-06
best val loss: 3.6165
saved to models/sr_transformer_512x20_acc40_3e-05LR.pt
