training log: output/train_20260403_205642.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 100000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc10_2e-04LR.pt
step 24200 | train 3.6789 | val 3.7323 | ppl 41.78 | lr 1.00e-04
step 24400 | train 3.6674 | val 3.7521 | ppl 42.61 | lr 1.00e-04
step 24600 | train 3.4938 | val 3.7598 | ppl 42.94 | lr 1.00e-04
step 24800 | train 3.6344 | val 3.7299 | ppl 41.67 | lr 1.00e-04
step 25000 | train 3.6679 | val 3.7276 | ppl 41.58 | lr 1.00e-04
step 25200 | train 3.6027 | val 3.7419 | ppl 42.18 | lr 1.00e-04
step 25400 | train 3.4375 | val 3.7362 | ppl 41.94 | lr 1.00e-04
step 25600 | train 3.7424 | val 3.7325 | ppl 41.78 | lr 1.00e-04
step 25800 | train 3.5959 | val 3.7163 | ppl 41.11 | lr 1.00e-04
step 26000 | train 3.6865 | val 3.7472 | ppl 42.40 | lr 1.00e-04
step 26200 | train 3.6731 | val 3.7178 | ppl 41.18 | lr 1.00e-04
step 26400 | train 3.4490 | val 3.7389 | ppl 42.05 | lr 1.00e-04
step 26600 | train 3.6536 | val 3.7304 | ppl 41.69 | lr 1.00e-04
step 26800 | train 3.6739 | val 3.7350 | ppl 41.89 | lr 1.00e-04
step 27000 | train 3.4911 | val 3.7450 | ppl 42.31 | lr 1.00e-04
step 27200 | train 3.6521 | val 3.7422 | ppl 42.19 | lr 1.00e-04
step 27400 | train 3.5592 | val 3.7053 | ppl 40.66 | lr 1.00e-04
step 27600 | train 3.6136 | val 3.7664 | ppl 43.23 | lr 1.00e-04
step 27800 | train 3.6763 | val 3.7259 | ppl 41.51 | lr 1.00e-04
step 28000 | train 3.5641 | val 3.7323 | ppl 41.78 | lr 1.00e-04
step 28200 | train 3.5399 | val 3.7432 | ppl 42.23 | lr 1.00e-04
step 28400 | train 3.8169 | val 3.7176 | ppl 41.17 | lr 1.00e-04
step 28600 | train 3.7922 | val 3.7063 | ppl 40.70 | lr 1.00e-04
step 28800 | train 3.6722 | val 3.7398 | ppl 42.09 | lr 1.00e-04
step 29000 | train 3.6235 | val 3.7318 | ppl 41.75 | lr 1.00e-04
step 29200 | train 3.6722 | val 3.7270 | ppl 41.55 | lr 1.00e-04
step 29400 | train 3.7904 | val 3.7582 | ppl 42.87 | lr 1.00e-04
step 29600 | train 3.6816 | val 3.7236 | ppl 41.41 | lr 1.00e-04
step 29800 | train 3.3976 | val 3.7363 | ppl 41.94 | lr 1.00e-04
step 30000 | train 3.3762 | val 3.7396 | ppl 42.08 | lr 1.00e-04
step 30200 | train 3.6294 | val 3.7680 | ppl 43.29 | lr 9.99e-05
step 30400 | train 3.7484 | val 3.7489 | ppl 42.47 | lr 9.99e-05
step 30600 | train 3.7311 | val 3.7315 | ppl 41.74 | lr 9.99e-05
step 30800 | train 3.6409 | val 3.7453 | ppl 42.32 | lr 9.99e-05
step 31000 | train 3.5939 | val 3.7238 | ppl 41.42 | lr 9.99e-05
step 31200 | train 3.7130 | val 3.7536 | ppl 42.68 | lr 9.99e-05
step 31400 | train 3.6080 | val 3.7721 | ppl 43.47 | lr 9.99e-05
step 31600 | train 3.7461 | val 3.7262 | ppl 41.52 | lr 9.99e-05
step 31800 | train 3.4879 | val 3.6853 | ppl 39.86 | lr 9.99e-05
step 32000 | train 3.8037 | val 3.7637 | ppl 43.11 | lr 9.99e-05
step 32200 | train 3.6860 | val 3.7323 | ppl 41.78 | lr 9.99e-05
step 32400 | train 3.7616 | val 3.7316 | ppl 41.75 | lr 9.99e-05
step 32600 | train 3.5185 | val 3.7089 | ppl 40.81 | lr 9.99e-05
step 32800 | train 3.7358 | val 3.7842 | ppl 44.00 | lr 9.99e-05
step 33000 | train 3.6257 | val 3.7303 | ppl 41.69 | lr 9.99e-05
step 33200 | train 3.7364 | val 3.7369 | ppl 41.97 | lr 9.99e-05
step 33400 | train 3.5723 | val 3.7291 | ppl 41.64 | lr 9.99e-05
step 33600 | train 3.6357 | val 3.7447 | ppl 42.30 | lr 9.99e-05
step 33800 | train 3.6634 | val 3.6954 | ppl 40.26 | lr 9.99e-05
step 34000 | train 3.6164 | val 3.7058 | ppl 40.68 | lr 9.99e-05
step 34200 | train 3.6519 | val 3.7202 | ppl 41.27 | lr 9.99e-05
step 34400 | train 3.5785 | val 3.7173 | ppl 41.15 | lr 9.99e-05
step 34600 | train 3.6110 | val 3.7304 | ppl 41.69 | lr 9.99e-05
step 34800 | train 3.4689 | val 3.7187 | ppl 41.21 | lr 9.99e-05
step 35000 | train 3.6115 | val 3.6937 | ppl 40.19 | lr 9.99e-05
step 35200 | train 3.5928 | val 3.7309 | ppl 41.71 | lr 9.99e-05
step 35400 | train 3.6386 | val 3.7338 | ppl 41.84 | lr 9.99e-05
step 35600 | train 3.6810 | val 3.7280 | ppl 41.59 | lr 9.99e-05
step 35800 | train 3.5190 | val 3.7412 | ppl 42.15 | lr 9.99e-05
step 36000 | train 3.7001 | val 3.7109 | ppl 40.89 | lr 9.99e-05
step 36200 | train 3.6359 | val 3.7171 | ppl 41.14 | lr 9.99e-05
step 36400 | train 3.4472 | val 3.7151 | ppl 41.06 | lr 9.99e-05
step 36600 | train 3.4782 | val 3.7434 | ppl 42.24 | lr 9.99e-05
step 36800 | train 3.5437 | val 3.7050 | ppl 40.65 | lr 9.99e-05
step 37000 | train 3.7944 | val 3.7204 | ppl 41.28 | lr 9.99e-05
step 37200 | train 3.6659 | val 3.7193 | ppl 41.24 | lr 9.99e-05
step 37400 | train 3.5247 | val 3.7080 | ppl 40.77 | lr 9.99e-05
step 37600 | train 3.5545 | val 3.7153 | ppl 41.07 | lr 9.99e-05
step 37800 | train 3.8156 | val 3.7140 | ppl 41.02 | lr 9.99e-05
step 38000 | train 3.6738 | val 3.7269 | ppl 41.55 | lr 9.99e-05
step 38200 | train 3.5598 | val 3.6950 | ppl 40.24 | lr 9.99e-05
step 38400 | train 3.5740 | val 3.7488 | ppl 42.47 | lr 9.99e-05
step 38600 | train 3.6172 | val 3.7496 | ppl 42.51 | lr 9.99e-05
step 38800 | train 3.7041 | val 3.7190 | ppl 41.22 | lr 9.99e-05
step 39000 | train 3.6337 | val 3.7456 | ppl 42.33 | lr 9.99e-05
step 39200 | train 3.5606 | val 3.7305 | ppl 41.70 | lr 9.99e-05
step 39400 | train 3.8087 | val 3.7185 | ppl 41.20 | lr 9.99e-05
step 39600 | train 3.5690 | val 3.7418 | ppl 42.17 | lr 9.99e-05
step 39800 | train 3.5699 | val 3.7160 | ppl 41.10 | lr 9.99e-05
step 40000 | train 3.6856 | val 3.7343 | ppl 41.86 | lr 9.99e-05
step 40200 | train 3.5658 | val 3.7495 | ppl 42.50 | lr 9.99e-05
step 40400 | train 3.6498 | val 3.7227 | ppl 41.38 | lr 9.99e-05
step 40600 | train 3.5269 | val 3.7544 | ppl 42.71 | lr 9.99e-05
step 40800 | train 3.5946 | val 3.7486 | ppl 42.46 | lr 9.99e-05
step 41000 | train 3.6476 | val 3.7250 | ppl 41.47 | lr 9.99e-05
step 41200 | train 3.7446 | val 3.7308 | ppl 41.71 | lr 9.99e-05
step 41400 | train 3.5278 | val 3.6632 | ppl 38.98 | lr 9.99e-05
step 41600 | train 3.5706 | val 3.7194 | ppl 41.24 | lr 9.99e-05
step 41800 | train 3.7574 | val 3.7430 | ppl 42.23 | lr 9.99e-05
step 42000 | train 3.6167 | val 3.7213 | ppl 41.32 | lr 9.99e-05
step 42200 | train 3.6825 | val 3.7408 | ppl 42.13 | lr 9.99e-05
step 42400 | train 3.5224 | val 3.7176 | ppl 41.17 | lr 9.99e-05
step 42600 | train 3.7012 | val 3.7123 | ppl 40.95 | lr 9.99e-05
step 42800 | train 3.4954 | val 3.7097 | ppl 40.84 | lr 9.99e-05
step 43000 | train 3.5854 | val 3.7273 | ppl 41.57 | lr 9.99e-05
step 43200 | train 3.6774 | val 3.7185 | ppl 41.20 | lr 9.99e-05
step 43400 | train 3.5715 | val 3.7286 | ppl 41.62 | lr 9.99e-05
step 43600 | train 3.6289 | val 3.6912 | ppl 40.09 | lr 9.99e-05
step 43800 | train 3.6139 | val 3.7290 | ppl 41.64 | lr 9.99e-05
step 44000 | train 3.7511 | val 3.7420 | ppl 42.18 | lr 9.99e-05
step 44200 | train 3.6518 | val 3.6949 | ppl 40.24 | lr 9.99e-05
step 44400 | train 3.6849 | val 3.7434 | ppl 42.24 | lr 9.99e-05
step 44600 | train 3.7197 | val 3.7416 | ppl 42.16 | lr 9.99e-05
step 44800 | train 3.5598 | val 3.7233 | ppl 41.40 | lr 9.99e-05
step 45000 | train 3.8475 | val 3.7112 | ppl 40.90 | lr 9.99e-05
step 45200 | train 3.6162 | val 3.7101 | ppl 40.86 | lr 9.99e-05
step 45400 | train 3.6421 | val 3.7238 | ppl 41.42 | lr 9.99e-05
step 45600 | train 3.5774 | val 3.7220 | ppl 41.35 | lr 9.99e-05
step 45800 | train 3.7269 | val 3.7163 | ppl 41.11 | lr 9.99e-05
step 46000 | train 3.6672 | val 3.6805 | ppl 39.67 | lr 9.99e-05
step 46200 | train 3.6806 | val 3.7575 | ppl 42.84 | lr 9.99e-05
step 46400 | train 3.6095 | val 3.7229 | ppl 41.38 | lr 9.99e-05
step 46600 | train 3.6894 | val 3.7090 | ppl 40.81 | lr 9.99e-05
step 46800 | train 3.7829 | val 3.7505 | ppl 42.54 | lr 9.99e-05
step 47000 | train 3.6154 | val 3.6782 | ppl 39.58 | lr 9.99e-05
step 47200 | train 3.4725 | val 3.7051 | ppl 40.65 | lr 9.99e-05
step 47400 | train 3.5476 | val 3.7166 | ppl 41.12 | lr 9.99e-05
step 47600 | train 3.5885 | val 3.7164 | ppl 41.11 | lr 9.99e-05
step 47800 | train 3.6572 | val 3.6975 | ppl 40.35 | lr 9.99e-05
step 48000 | train 3.6283 | val 3.7332 | ppl 41.81 | lr 9.99e-05
step 48200 | train 3.6629 | val 3.6930 | ppl 40.17 | lr 9.99e-05
step 48400 | train 3.7085 | val 3.7105 | ppl 40.87 | lr 9.99e-05
step 48600 | train 3.4167 | val 3.7117 | ppl 40.92 | lr 9.99e-05
step 48800 | train 3.5780 | val 3.7341 | ppl 41.85 | lr 9.99e-05
step 49000 | train 3.5163 | val 3.7504 | ppl 42.54 | lr 9.99e-05
step 49200 | train 3.7075 | val 3.6647 | ppl 39.04 | lr 9.99e-05
step 49400 | train 3.6207 | val 3.6962 | ppl 40.29 | lr 9.99e-05
step 49600 | train 3.6650 | val 3.6842 | ppl 39.81 | lr 9.99e-05
step 49800 | train 3.6910 | val 3.7291 | ppl 41.64 | lr 9.99e-05
step 50000 | train 3.6238 | val 3.7157 | ppl 41.09 | lr 9.99e-05
step 50200 | train 3.7728 | val 3.6600 | ppl 38.86 | lr 9.99e-05
step 50400 | train 3.5934 | val 3.7150 | ppl 41.06 | lr 9.99e-05
