training log: output/train_20260402_133552.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5_5e-05LR.pt', 'init_from': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 5e-05, 'max_steps': 25000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5_bigLR.pt
step 9050 | train 3.7471 | val 3.9084 | ppl 49.82 | lr 4.94e-05
step 9100 | train 3.8596 | val 3.9014 | ppl 49.47 | lr 4.94e-05
step 9150 | train 3.9365 | val 3.8892 | ppl 48.87 | lr 4.94e-05
step 9200 | train 3.8665 | val 3.9091 | ppl 49.85 | lr 4.94e-05
step 9250 | train 3.6760 | val 3.8901 | ppl 48.92 | lr 4.94e-05
step 9300 | train 3.7811 | val 3.8276 | ppl 45.95 | lr 4.94e-05
step 9350 | train 3.9358 | val 3.9418 | ppl 51.51 | lr 4.94e-05
step 9400 | train 3.7345 | val 3.9579 | ppl 52.35 | lr 4.94e-05
step 9450 | train 3.9467 | val 3.9483 | ppl 51.85 | lr 4.94e-05
step 9500 | train 3.9268 | val 3.9047 | ppl 49.64 | lr 4.94e-05
step 9550 | train 3.8489 | val 3.9425 | ppl 51.55 | lr 4.94e-05
step 9600 | train 3.8143 | val 3.8388 | ppl 46.47 | lr 4.93e-05
step 9650 | train 3.9019 | val 3.8565 | ppl 47.30 | lr 4.93e-05
step 9700 | train 3.8823 | val 3.9115 | ppl 49.98 | lr 4.93e-05
step 9750 | train 3.9222 | val 3.8957 | ppl 49.19 | lr 4.93e-05
step 9800 | train 3.8131 | val 3.8803 | ppl 48.44 | lr 4.93e-05
step 9850 | train 3.8480 | val 3.9378 | ppl 51.31 | lr 4.93e-05
step 9900 | train 3.9732 | val 3.9120 | ppl 50.00 | lr 4.93e-05
step 9950 | train 3.8687 | val 3.9157 | ppl 50.18 | lr 4.93e-05
step 10000 | train 3.7281 | val 3.9585 | ppl 52.38 | lr 4.93e-05
step 10050 | train 3.8076 | val 3.9238 | ppl 50.59 | lr 4.93e-05
step 10100 | train 3.8595 | val 3.9256 | ppl 50.68 | lr 4.93e-05
step 10150 | train 3.8617 | val 3.8010 | ppl 44.75 | lr 4.93e-05
step 10200 | train 3.7888 | val 3.9144 | ppl 50.12 | lr 4.93e-05
step 10250 | train 3.8393 | val 3.9506 | ppl 51.97 | lr 4.93e-05
step 10300 | train 3.9144 | val 3.8845 | ppl 48.64 | lr 4.93e-05
step 10350 | train 3.6867 | val 3.8750 | ppl 48.18 | lr 4.92e-05
step 10400 | train 3.7528 | val 3.8941 | ppl 49.11 | lr 4.92e-05
step 10450 | train 3.8077 | val 3.9220 | ppl 50.50 | lr 4.92e-05
step 10500 | train 3.8176 | val 3.8886 | ppl 48.84 | lr 4.92e-05
step 10550 | train 3.6007 | val 3.9142 | ppl 50.11 | lr 4.92e-05
step 10600 | train 3.8058 | val 3.9141 | ppl 50.10 | lr 4.92e-05
step 10650 | train 3.9042 | val 3.8497 | ppl 46.98 | lr 4.92e-05
step 10700 | train 3.9064 | val 3.9261 | ppl 50.71 | lr 4.92e-05
step 10750 | train 3.7565 | val 3.8981 | ppl 49.31 | lr 4.92e-05
step 10800 | train 3.7474 | val 3.8692 | ppl 47.90 | lr 4.92e-05
step 10850 | train 3.8574 | val 3.8669 | ppl 47.79 | lr 4.92e-05
step 10900 | train 4.0030 | val 3.8826 | ppl 48.55 | lr 4.92e-05
step 10950 | train 3.9339 | val 3.8801 | ppl 48.43 | lr 4.92e-05
step 11000 | train 3.7896 | val 3.9208 | ppl 50.44 | lr 4.91e-05
step 11050 | train 3.7073 | val 3.8761 | ppl 48.24 | lr 4.91e-05
step 11100 | train 3.8775 | val 3.8841 | ppl 48.62 | lr 4.91e-05
step 11150 | train 3.7569 | val 3.8865 | ppl 48.74 | lr 4.91e-05
step 11200 | train 3.8425 | val 3.8665 | ppl 47.78 | lr 4.91e-05
step 11250 | train 3.8382 | val 3.9264 | ppl 50.72 | lr 4.91e-05
step 11300 | train 3.8661 | val 3.8733 | ppl 48.10 | lr 4.91e-05
step 11350 | train 3.9068 | val 3.8932 | ppl 49.07 | lr 4.91e-05
step 11400 | train 3.7835 | val 3.9154 | ppl 50.17 | lr 4.91e-05
step 11450 | train 3.7982 | val 3.9580 | ppl 52.35 | lr 4.91e-05
step 11500 | train 3.8463 | val 3.8590 | ppl 47.42 | lr 4.91e-05
step 11550 | train 3.6971 | val 3.9200 | ppl 50.40 | lr 4.91e-05
step 11600 | train 3.8991 | val 3.8803 | ppl 48.44 | lr 4.91e-05
step 11650 | train 3.8652 | val 3.8820 | ppl 48.52 | lr 4.90e-05
step 11700 | train 3.8475 | val 3.8979 | ppl 49.30 | lr 4.90e-05
step 11750 | train 3.8061 | val 3.9808 | ppl 53.56 | lr 4.90e-05
step 11800 | train 3.7542 | val 3.9221 | ppl 50.50 | lr 4.90e-05
step 11850 | train 3.7355 | val 3.9286 | ppl 50.84 | lr 4.90e-05
step 11900 | train 3.9039 | val 3.8822 | ppl 48.53 | lr 4.90e-05
step 11950 | train 3.7602 | val 3.8729 | ppl 48.08 | lr 4.90e-05
step 12000 | train 3.8499 | val 3.9546 | ppl 52.18 | lr 4.90e-05
step 12050 | train 3.8969 | val 3.8456 | ppl 46.78 | lr 4.90e-05
step 12100 | train 3.7904 | val 3.8973 | ppl 49.27 | lr 4.90e-05
step 12150 | train 3.9190 | val 3.9072 | ppl 49.76 | lr 4.90e-05
step 12200 | train 3.9262 | val 3.9064 | ppl 49.72 | lr 4.90e-05
step 12250 | train 3.8046 | val 3.9138 | ppl 50.09 | lr 4.89e-05
step 12300 | train 3.8239 | val 3.8690 | ppl 47.89 | lr 4.89e-05
step 12350 | train 3.7423 | val 3.9088 | ppl 49.84 | lr 4.89e-05
step 12400 | train 3.9000 | val 3.9024 | ppl 49.52 | lr 4.89e-05
step 12450 | train 3.6627 | val 3.9045 | ppl 49.62 | lr 4.89e-05
step 12500 | train 3.7761 | val 3.9162 | ppl 50.21 | lr 4.89e-05
step 12550 | train 3.7604 | val 3.8634 | ppl 47.62 | lr 4.89e-05
step 12600 | train 3.9724 | val 3.8809 | ppl 48.47 | lr 4.89e-05
step 12650 | train 3.9315 | val 3.9053 | ppl 49.66 | lr 4.89e-05
step 12700 | train 3.7212 | val 3.8812 | ppl 48.48 | lr 4.89e-05
step 12750 | train 3.7764 | val 3.8787 | ppl 48.36 | lr 4.89e-05
step 12800 | train 3.8184 | val 3.9089 | ppl 49.84 | lr 4.88e-05
step 12850 | train 3.8386 | val 3.9120 | ppl 50.00 | lr 4.88e-05
step 12900 | train 3.8751 | val 3.9178 | ppl 50.29 | lr 4.88e-05
step 12950 | train 3.7515 | val 3.8769 | ppl 48.28 | lr 4.88e-05
step 13000 | train 3.9506 | val 3.9005 | ppl 49.43 | lr 4.88e-05
step 13050 | train 3.7477 | val 3.9565 | ppl 52.27 | lr 4.88e-05
step 13100 | train 3.7083 | val 3.8989 | ppl 49.35 | lr 4.88e-05
step 13150 | train 3.8232 | val 3.9360 | ppl 51.21 | lr 4.88e-05
step 13200 | train 3.6310 | val 3.9468 | ppl 51.77 | lr 4.88e-05
step 13250 | train 3.7214 | val 3.8681 | ppl 47.85 | lr 4.88e-05
step 13300 | train 3.8001 | val 3.9043 | ppl 49.62 | lr 4.88e-05
step 13350 | train 3.7558 | val 3.8737 | ppl 48.12 | lr 4.87e-05
step 13400 | train 3.9086 | val 3.9105 | ppl 49.92 | lr 4.87e-05
step 13450 | train 3.7717 | val 3.8459 | ppl 46.80 | lr 4.87e-05
step 13500 | train 3.7656 | val 3.8886 | ppl 48.84 | lr 4.87e-05
step 13550 | train 3.7447 | val 3.8726 | ppl 48.06 | lr 4.87e-05
step 13600 | train 3.7878 | val 3.8502 | ppl 47.00 | lr 4.87e-05
step 13650 | train 3.9353 | val 3.9262 | ppl 50.72 | lr 4.87e-05
step 13700 | train 3.7258 | val 3.8879 | ppl 48.81 | lr 4.87e-05
step 13750 | train 3.8058 | val 3.8886 | ppl 48.84 | lr 4.87e-05
step 13800 | train 3.7556 | val 3.9465 | ppl 51.75 | lr 4.87e-05
step 13850 | train 3.7991 | val 3.8710 | ppl 47.99 | lr 4.87e-05
step 13900 | train 3.8428 | val 3.8639 | ppl 47.65 | lr 4.86e-05
step 13950 | train 3.8423 | val 3.9123 | ppl 50.01 | lr 4.86e-05
step 14000 | train 3.8011 | val 3.8881 | ppl 48.82 | lr 4.86e-05
step 14050 | train 3.7605 | val 3.9190 | ppl 50.35 | lr 4.86e-05
step 14100 | train 3.8030 | val 3.8883 | ppl 48.83 | lr 4.86e-05
step 14150 | train 3.8789 | val 3.8865 | ppl 48.74 | lr 4.86e-05
step 14200 | train 3.8999 | val 3.9359 | ppl 51.21 | lr 4.86e-05
step 14250 | train 3.7911 | val 3.8705 | ppl 47.97 | lr 4.86e-05
step 14300 | train 3.9028 | val 3.9038 | ppl 49.59 | lr 4.86e-05
step 14350 | train 3.8368 | val 3.8990 | ppl 49.35 | lr 4.86e-05
step 14400 | train 3.7455 | val 3.8835 | ppl 48.59 | lr 4.85e-05
step 14450 | train 3.7255 | val 3.9176 | ppl 50.28 | lr 4.85e-05
step 14500 | train 3.5958 | val 3.9104 | ppl 49.92 | lr 4.85e-05
step 14550 | train 3.8474 | val 3.9431 | ppl 51.58 | lr 4.85e-05
step 14600 | train 3.7923 | val 3.8860 | ppl 48.71 | lr 4.85e-05
step 14650 | train 3.8931 | val 3.8692 | ppl 47.90 | lr 4.85e-05
step 14700 | train 3.9590 | val 3.8844 | ppl 48.64 | lr 4.85e-05
step 14750 | train 3.8722 | val 3.8974 | ppl 49.27 | lr 4.85e-05
step 14800 | train 3.8358 | val 3.8906 | ppl 48.94 | lr 4.85e-05
step 14850 | train 3.7527 | val 3.8850 | ppl 48.66 | lr 4.85e-05
step 14900 | train 3.7026 | val 3.8971 | ppl 49.26 | lr 4.84e-05
step 14950 | train 3.7686 | val 3.9269 | ppl 50.75 | lr 4.84e-05
step 15000 | train 3.6662 | val 3.9057 | ppl 49.68 | lr 4.84e-05
step 15050 | train 3.6170 | val 3.9060 | ppl 49.70 | lr 4.84e-05
step 15100 | train 3.6527 | val 3.9411 | ppl 51.48 | lr 4.84e-05
step 15150 | train 3.7443 | val 3.8914 | ppl 48.98 | lr 4.84e-05
step 15200 | train 3.8327 | val 3.8485 | ppl 46.92 | lr 4.84e-05
step 15250 | train 3.8424 | val 3.9309 | ppl 50.95 | lr 4.84e-05
step 15300 | train 3.5307 | val 3.8850 | ppl 48.66 | lr 4.84e-05
step 15350 | train 3.9156 | val 3.9081 | ppl 49.80 | lr 4.83e-05
step 15400 | train 3.8688 | val 3.8757 | ppl 48.21 | lr 4.83e-05
step 15450 | train 3.8809 | val 3.8483 | ppl 46.91 | lr 4.83e-05
step 15500 | train 3.8166 | val 3.8834 | ppl 48.59 | lr 4.83e-05
