training log: output/train_20260331_202920.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20.pt', 'init_from': None, 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0003, 'max_steps': 10000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 1, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
step 6450 | train 4.4294 | val 4.5246 | ppl 92.26 | lr 1.10e-04
step 6500 | train 4.5189 | val 4.4746 | ppl 87.76 | lr 1.08e-04
step 6550 | train 4.4626 | val 4.4910 | ppl 89.21 | lr 1.06e-04
step 6600 | train 4.5386 | val 4.5114 | ppl 91.05 | lr 1.04e-04
step 6650 | train 4.4599 | val 4.4815 | ppl 88.37 | lr 1.02e-04
step 6700 | train 4.4231 | val 4.4700 | ppl 87.35 | lr 1.00e-04
step 6750 | train 4.2521 | val 4.4626 | ppl 86.71 | lr 9.81e-05
step 6800 | train 4.3703 | val 4.4755 | ppl 87.84 | lr 9.62e-05
step 6850 | train 4.3234 | val 4.4398 | ppl 84.76 | lr 9.44e-05
step 6900 | train 4.3716 | val 4.4851 | ppl 88.69 | lr 9.25e-05
step 6950 | train 4.3721 | val 4.4661 | ppl 87.02 | lr 9.07e-05
step 7000 | train 4.3969 | val 4.4516 | ppl 85.77 | lr 8.89e-05
step 7050 | train 4.2982 | val 4.4632 | ppl 86.76 | lr 8.71e-05
step 7100 | train 4.3817 | val 4.4491 | ppl 85.55 | lr 8.53e-05
step 7150 | train 4.3852 | val 4.4478 | ppl 85.44 | lr 8.35e-05
step 7200 | train 4.3576 | val 4.4336 | ppl 84.23 | lr 8.18e-05
step 7250 | train 4.3691 | val 4.4771 | ppl 87.98 | lr 8.01e-05
step 7300 | train 4.1918 | val 4.4526 | ppl 85.85 | lr 7.84e-05
step 7350 | train 4.3459 | val 4.4160 | ppl 82.77 | lr 7.67e-05
step 7400 | train 4.3748 | val 4.4563 | ppl 86.17 | lr 7.51e-05
step 7450 | train 4.2807 | val 4.4746 | ppl 87.76 | lr 7.35e-05
step 7500 | train 4.2996 | val 4.4211 | ppl 83.19 | lr 7.19e-05
step 7550 | train 4.4171 | val 4.4041 | ppl 81.79 | lr 7.03e-05
step 7600 | train 4.4954 | val 4.4123 | ppl 82.45 | lr 6.88e-05
step 7650 | train 4.3682 | val 4.4466 | ppl 85.34 | lr 6.73e-05
step 7700 | train 4.3084 | val 4.4339 | ppl 84.26 | lr 6.58e-05
step 7750 | train 4.3439 | val 4.4169 | ppl 82.84 | lr 6.43e-05
step 7800 | train 4.3889 | val 4.4308 | ppl 84.00 | lr 6.28e-05
step 7850 | train 4.3122 | val 4.4111 | ppl 82.36 | lr 6.14e-05
step 7900 | train 4.4040 | val 4.4280 | ppl 83.76 | lr 6.00e-05
step 7950 | train 4.3684 | val 4.4552 | ppl 86.07 | lr 5.87e-05
step 8000 | train 4.3133 | val 4.4033 | ppl 81.72 | lr 5.73e-05
step 8050 | train 4.3633 | val 4.4376 | ppl 84.57 | lr 5.60e-05
step 8100 | train 4.3773 | val 4.3903 | ppl 80.66 | lr 5.48e-05
