training log: output/train_20260331_230036.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 75000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20.pt
step 7750 | train 4.2429 | val 4.3465 | ppl 77.21 | lr 3.00e-05
step 7800 | train 4.2964 | val 4.3641 | ppl 78.58 | lr 3.00e-05
step 7850 | train 4.2120 | val 4.3453 | ppl 77.12 | lr 3.00e-05
step 7900 | train 4.3013 | val 4.3617 | ppl 78.39 | lr 3.00e-05
step 7950 | train 4.2736 | val 4.3941 | ppl 80.97 | lr 3.00e-05
step 8000 | train 4.2154 | val 4.3386 | ppl 76.60 | lr 3.00e-05
step 8050 | train 4.2709 | val 4.3776 | ppl 79.65 | lr 3.00e-05
step 8100 | train 4.2915 | val 4.3265 | ppl 75.68 | lr 3.00e-05
step 8150 | train 4.2365 | val 4.3601 | ppl 78.27 | lr 3.00e-05
step 8200 | train 4.2425 | val 4.3643 | ppl 78.59 | lr 3.00e-05
step 8250 | train 4.1116 | val 4.3686 | ppl 78.93 | lr 3.00e-05
step 8300 | train 4.2344 | val 4.3749 | ppl 79.43 | lr 3.00e-05
step 8350 | train 4.2435 | val 4.3681 | ppl 78.89 | lr 3.00e-05
step 8400 | train 4.1810 | val 4.3544 | ppl 77.82 | lr 3.00e-05
step 8450 | train 4.3797 | val 4.3341 | ppl 76.26 | lr 3.00e-05
step 8500 | train 4.3025 | val 4.3524 | ppl 77.66 | lr 3.00e-05
step 8550 | train 4.1047 | val 4.3630 | ppl 78.49 | lr 3.00e-05
step 8600 | train 4.1451 | val 4.3282 | ppl 75.81 | lr 3.00e-05
step 8650 | train 4.2875 | val 4.3267 | ppl 75.69 | lr 3.00e-05
step 8700 | train 4.3369 | val 4.3516 | ppl 77.60 | lr 3.00e-05
step 8750 | train 4.1720 | val 4.3686 | ppl 78.93 | lr 3.00e-05
step 8800 | train 4.3079 | val 4.3865 | ppl 80.36 | lr 3.00e-05
step 8850 | train 4.1257 | val 4.3718 | ppl 79.18 | lr 3.00e-05
step 8900 | train 4.1805 | val 4.3395 | ppl 76.67 | lr 3.00e-05
step 8950 | train 4.3361 | val 4.3876 | ppl 80.45 | lr 3.00e-05
step 9000 | train 4.1094 | val 4.3865 | ppl 80.36 | lr 3.00e-05
step 9050 | train 4.2778 | val 4.3778 | ppl 79.66 | lr 3.00e-05
step 9100 | train 4.3370 | val 4.3715 | ppl 79.16 | lr 3.00e-05
step 9150 | train 4.1530 | val 4.2980 | ppl 73.55 | lr 3.00e-05
